,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
0,Terrifier,Terrifier,420634,"[27, 53]",2018-01-25,879.388,6.442,2118,en,False
1,Terrifier 2,Terrifier 2,663712,"[27, 53]",2022-10-06,900.39,6.778,1805,en,False
2,Joker,Joker,475557,"[80, 53, 18]",2019-10-01,579.469,8.2,25421,en,False
3,House of Spoils,House of Spoils,1014661,"[27, 53]",2024-09-21,491.485,5.8,54,en,False
4,Culpa mía,My Fault,1010581,"[10749, 18]",2023-06-08,376.118,7.9,2966,es,False
5,John Wick: Chapter 4,John Wick: Chapter 4,603692,"[28, 53, 80]",2023-03-22,290.591,7.7,6393,en,False
6,The Batman,The Batman,414906,"[80, 9648, 53]",2022-03-01,201.597,7.672,10127,en,False
7,My Spy The Eternal City,My Spy The Eternal City,1048241,"[28, 35]",2024-07-18,205.063,6.673,298,en,False
8,Venom: Let There Be Carnage,Venom: Let There Be Carnage,580489,"[878, 28, 12]",2021-09-30,287.264,6.797,9957,en,False
9,Rüyanda Görürsün,In Your Dreams,1073125,"[10749, 35, 18]",2023-02-03,305.729,7.3,73,tr,False
10,All Hallows' Eve,All Hallows' Eve,231001,[27],2013-10-29,306.631,5.72,439,en,False
11,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,122,"[12, 14, 28]",2003-12-17,257.964,8.5,24030,en,False
12,The Beekeeper,The Beekeeper,866398,"[80, 28, 12, 53]",2024-01-08,204.998,7.363,2980,en,False
13,The Idea of You,The Idea of You,843527,"[10749, 18, 35]",2024-05-02,190.336,7.4,1392,en,False
14,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,120,"[12, 14, 28]",2001-12-18,322.203,8.4,24975,en,False
15,Spider-Man: No Way Home,Spider-Man: No Way Home,634649,"[28, 12, 878]",2021-12-15,257.436,7.959,19951,en,False
16,The Ministry of Ungentlemanly Warfare,The Ministry of Ungentlemanly Warfare,799583,"[28, 35, 10752]",2024-04-18,233.611,7.1,1081,en,False
17,Immaculate,Immaculate,1041613,"[27, 9648, 53]",2024-03-20,142.813,6.3,1107,en,False
18,Jackpot!,Jackpot!,1094138,"[35, 878, 28]",2024-08-13,237.077,6.4,519,en,False
19,Hacksaw Ridge,Hacksaw Ridge,324786,"[18, 36, 10752]",2016-10-07,116.49,8.2,13614,en,False
20,Interstellar,Interstellar,157336,"[12, 18, 878]",2014-11-05,189.287,8.44,35350,en,False
21,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,423108,"[27, 9648, 53]",2021-05-25,151.956,7.435,5852,en,False
22,Farang,Mayhem!,959092,"[28, 80, 18]",2023-06-28,203.029,6.7,157,fr,False
23,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,121,"[12, 14, 28]",2002-12-18,237.429,8.399,21692,en,False
24,Wanted Man,Wanted Man,666035,[28],2024-04-01,200.148,6.829,73,en,False
25,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,315162,"[16, 12, 14, 35, 10751]",2022-12-07,168.628,8.2,7658,en,False
26,Shrek,Shrek,808,"[16, 35, 14, 12, 10751]",2001-05-18,175.981,7.744,16988,en,False
27,The Strangers: Chapter 1,The Strangers: Chapter 1,1010600,"[27, 53]",2024-05-15,187.352,5.879,346,en,False
28,The Matrix,The Matrix,603,"[28, 878]",1999-03-31,123.108,8.218,25490,en,False
29,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,122917,"[28, 12, 14]",2014-12-10,168.904,7.323,14139,en,False
30,Cidade de Deus,City of God,598,"[18, 80]",2002-08-30,92.147,8.425,7324,pt,False
31,The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes,695721,"[18, 878, 28]",2023-11-15,152.051,7.08,2622,en,False
32,One Fast Move,One Fast Move,1281826,"[28, 18, 10749]",2024-08-07,171.213,6.681,144,en,False
33,Furious 7,Furious 7,168259,"[28, 53, 80]",2015-04-01,89.907,7.235,10528,en,False
34,The Wolf of Wall Street,The Wolf of Wall Street,106646,"[80, 18, 35]",2013-12-25,199.185,8.034,23764,en,False
35,Back to the Future,Back to the Future,105,"[12, 35, 878]",1985-07-03,110.176,8.317,19776,en,False
36,The Imitation Game,The Imitation Game,205596,"[36, 18, 53, 10752]",2014-11-14,194.394,8.0,16876,en,False
37,Killer Heat,Killer Heat,1108566,"[80, 18, 10749]",2024-09-25,137.824,6.1,127,en,False
38,Inglourious Basterds,Inglourious Basterds,16869,"[18, 53, 10752]",2009-08-02,79.069,8.2,22090,en,False
39,The Suicide Squad,The Suicide Squad,436969,"[28, 35, 12]",2021-07-28,182.829,7.511,8514,en,False
40,Saw,Saw,176,"[27, 9648, 80]",2004-10-01,78.462,7.4,9111,en,False
41,The Fate of the Furious,The Fate of the Furious,337339,"[28, 80, 53]",2017-04-12,98.879,6.876,10201,en,False
42,Skjelvet,The Quake,416194,"[28, 18, 53]",2018-08-31,75.796,6.743,741,no,False
