,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
0,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,84773,"[10759, 10765, 18]",2022-09-01,1422.839,7.351,2941,en,False
1,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit,2734,"[80, 18, 9648]",1999-09-20,1070.26,7.923,3797,en,False
2,Supernatural,Supernatural,1622,"[18, 9648, 10765]",2005-09-13,837.182,8.3,7525,en,False
3,House,House,1408,"[18, 9648, 35]",2004-11-16,563.834,8.59,6484,en,False
4,The Good Doctor,The Good Doctor,71712,[18],2017-09-25,560.242,8.483,12332,en,False
5,The Blacklist,The Blacklist,46952,"[18, 80, 9648]",2013-09-23,551.738,7.6,3121,en,False
6,Shameless,Shameless,34307,"[18, 35]",2011-01-09,482.757,8.153,2684,en,False
7,The Boys,The Boys,76479,"[10765, 10759]",2019-07-25,479.122,8.475,10424,en,False
8,Midsomer Murders,Midsomer Murders,764,"[80, 18, 9648]",1997-03-23,461.687,7.544,297,en,False
9,The Mentalist,The Mentalist,5920,"[80, 18, 9648]",2008-09-23,454.401,8.369,3738,en,False
10,Peaky Blinders,Peaky Blinders,60574,"[18, 80]",2013-09-12,449.902,8.5,9874,en,False
11,The Vampire Diaries,The Vampire Diaries,18165,"[18, 10765]",2009-09-10,429.968,8.332,8920,en,False
12,Chicago Fire,Chicago Fire,44006,[18],2012-10-10,423.604,8.4,2188,en,False
13,Doctor Who,Doctor Who,57243,"[10759, 18, 10765]",2005-03-26,414.853,7.528,2985,en,False
14,Two and a Half Men,Two and a Half Men,2691,[35],2003-09-22,406.184,7.5,3191,en,False
15,Gilmore Girls,Gilmore Girls,4586,"[35, 18]",2000-10-05,391.01,7.9,1003,en,False
16,Young Sheldon,Young Sheldon,71728,"[35, 10751, 18]",2017-09-25,387.554,8.07,2498,en,False
17,Chicago P.D.,Chicago P.D.,58841,"[80, 18]",2014-01-08,375.877,8.421,2378,en,False
18,Monk,Monk,1695,"[35, 80, 18, 9648]",2002-07-12,372.955,7.933,1038,en,False
19,Smallville,Smallville,4604,"[10765, 10759, 18]",2001-10-16,322.73,8.219,4046,en,False
20,PAW Patrol,PAW Patrol,57532,"[16, 10762]",2013-08-12,317.146,6.985,731,en,False
21,Peppa Pig,Peppa Pig,12225,"[16, 10762]",2004-05-31,305.521,6.6,697,en,False
22,Fargo,Fargo,60622,"[80, 18]",2014-04-15,305.042,8.296,2669,en,False
23,Columbo,Columbo,873,"[80, 18, 9648]",1971-09-15,293.076,8.1,668,en,False
