,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
0,Inside Out 2,Inside Out 2,1022789,"[16, 10751, 12, 35, 18]",2024-06-11,1600.318,7.631,4301,en,False
1,Hold Your Breath,Hold Your Breath,718014,"[27, 53, 18]",2024-09-12,508.229,6.1,92,en,False
2,Descendants: The Rise of Red,Descendants: The Rise of Red,974262,"[14, 12, 10751, 35]",2024-07-11,403.33,7.0,338,en,False
3,Star Wars: The Last Jedi,Star Wars: The Last Jedi,181808,"[12, 28, 878]",2017-12-13,253.904,6.8,15159,en,False
4,Kingdom of the Planet of the Apes,Kingdom of the Planet of the Apes,653346,"[878, 12, 28]",2024-05-08,444.185,7.1,3017,en,False
5,Coco,Coco,354912,"[10751, 16, 10402, 12]",2017-10-27,548.05,8.212,19250,en,False
6,Cars 3,Cars 3,260514,"[10751, 16, 12, 35]",2017-06-15,262.662,6.9,5732,en,False
7,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,181812,"[12, 28, 878]",2019-12-18,202.585,6.3,9807,en,False
8,The Nightmare Before Christmas,The Nightmare Before Christmas,9479,"[14, 16, 10751]",1993-10-09,331.177,7.8,9347,en,False
9,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,"[12, 10751, 14]",2005-12-07,180.642,7.134,10526,en,False
10,"Miraculous World : Paris, Les Aventures de Toxinelle et Griffe Noire","Miraculous World: Paris, Tales of Shadybug and Claw Noir",1147400,"[16, 12, 28, 14, 10751]",2023-10-21,278.681,7.2,480,fr,False
11,Big Hero 6,Big Hero 6,177572,"[12, 10751, 16, 28, 35]",2014-10-24,190.704,7.733,15494,en,False
12,The Marvels,The Marvels,609681,"[878, 12, 28]",2023-11-08,254.104,6.066,2618,en,False
13,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,22,"[12, 14, 28]",2003-07-09,292.565,7.8,20447,en,False
14,The Maze Runner,The Maze Runner,198663,"[28, 9648, 878, 53]",2014-09-10,324.473,7.2,16873,en,False
15,Gone Girl,Gone Girl,210577,"[9648, 53, 18]",2014-10-01,334.184,7.893,18463,en,False
16,Zootopia,Zootopia,269149,"[16, 12, 10751, 35]",2016-02-11,180.094,7.8,16148,en,False
17,Titanic,Titanic,597,"[18, 10749]",1997-11-18,184.78,7.9,25187,en,False
18,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,1865,"[12, 28, 14]",2011-05-15,160.377,6.6,13868,en,False
19,Avengers: Infinity War,Avengers: Infinity War,299536,"[12, 28, 878]",2018-04-25,230.203,8.2,29563,en,False
20,Inside Out,Inside Out,150540,"[16, 10751, 12, 18, 35]",2015-06-17,203.341,7.914,21783,en,False
21,Finding Nemo,Finding Nemo,12,"[16, 10751]",2003-05-30,202.975,7.819,19112,en,False
22,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,181812,"[12, 28, 878]",2019-12-18,202.585,6.3,9807,en,False
