,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
0,Grey's Anatomy,Grey's Anatomy,1416,[18],2005-03-27,1128.968,8.231,10197,en,False
1,Agatha All Along,Agatha All Along,138501,"[10765, 9648, 35]",2024-09-18,1038.605,7.6,239,en,False
2,Prison Break,Prison Break,2288,"[10759, 80, 18]",2005-08-29,985.135,8.079,5044,en,False
3,The Simpsons,The Simpsons,456,"[10751, 16, 35]",1989-12-17,767.981,8.0,9827,en,False
4,Bones,Bones,1911,"[80, 18]",2005-09-13,623.884,8.241,3146,en,False
5,Lost,Lost,4607,"[9648, 10759, 18]",2004-09-22,622.791,7.946,4212,en,False
6,Criminal Minds,Criminal Minds,4057,"[80, 18, 9648]",2005-09-22,566.2,8.316,3692,en,False
7,Family Guy,Family Guy,1434,"[16, 35]",1999-01-31,548.237,7.4,4331,en,False
8,The Resident,The Resident,74016,[18],2018-01-21,532.431,8.5,1207,en,False
9,"Miraculous, les aventures de Ladybug et Chat Noir",Miraculous: Tales of Ladybug & Cat Noir,65334,"[10759, 16, 10762]",2015-10-19,528.445,8.049,4384,fr,False
10,BLEACH,Bleach,30984,"[10759, 16, 10765]",2004-10-05,488.859,8.4,1802,ja,False
11,American Dad!,American Dad!,1433,"[16, 35]",2005-02-06,480.753,7.0,2077,en,False
12,The Walking Dead,The Walking Dead,1402,"[10759, 18, 10765]",2010-10-31,457.609,8.112,16434,en,False
13,Castle,Castle,1419,"[18, 80]",2009-03-09,403.74,8.0,1827,en,False
14,9-1-1,9-1-1,75219,"[18, 80, 10759]",2018-01-03,377.45,8.2,2463,en,False
15,Phineas and Ferb,Phineas and Ferb,1877,"[16, 35, 10751, 10765]",2007-08-17,376.54,7.9,840,en,False
16,American Horror Story,American Horror Story,1413,"[18, 9648, 10765]",2011-10-05,339.632,8.132,5574,en,False
17,Desperate Housewives,Desperate Housewives,693,"[9648, 18, 35, 10766]",2004-10-03,337.904,7.9,1833,en,False
18,Modern Family,Modern Family,1421,[35],2009-09-23,318.273,7.853,2738,en,False
19,Gravity Falls,Gravity Falls,40075,"[16, 35, 9648, 10765, 10762]",2012-06-15,316.591,8.6,2952,en,False
20,Modern Family,Modern Family,1421,[35],2009-09-23,318.273,7.853,2738,en,False
21,It's Always Sunny in Philadelphia,It's Always Sunny in Philadelphia,2710,[35],2005-08-04,279.789,8.3,1059,en,False
22,Star vs. the Forces of Evil,Star vs. the Forces of Evil,61923,"[10759, 16, 35, 10765, 10751]",2015-01-18,259.338,8.378,1371,en,False
23,Marvel's Agents of S.H.I.E.L.D.,Marvel's Agents of S.H.I.E.L.D.,1403,"[18, 10765, 10759]",2013-09-24,262.492,7.487,3461,en,False
24,24,24,1973,"[10759, 18, 80]",2001-11-06,264.756,7.786,1498,en,False
25,夜桜さんちの大作戦,Mission: Yozakura Family,216467,"[16, 35, 10759]",2024-04-07,221.66,7.0,23,ja,False
26,Mayday,Mayday,90,"[99, 18, 80]",2003-09-03,238.65,8.213,251,en,False
27,Star Wars: The Clone Wars,Star Wars: The Clone Wars,4194,"[10759, 16, 10765]",2008-10-03,245.161,8.5,1997,en,False
28,Malcolm in the Middle,Malcolm in the Middle,2004,"[10751, 35, 18]",2000-01-09,267.379,8.5,4301,en,False
29,Futurama,Futurama,615,"[16, 35, 10765]",1999-03-28,239.86,8.382,3239,en,False
30,Once Upon a Time,Once Upon a Time,39272,"[18, 10765]",2011-10-23,225.554,7.374,2216,en,False
31,Ghost Whisperer,Ghost Whisperer,1606,"[10765, 9648, 18]",2005-09-23,284.066,8.1,1701,en,False
32,Sons of Anarchy,Sons of Anarchy,1409,"[80, 18]",2008-09-03,245.093,8.4,2847,en,False
33,Terapia alternativa,Alternative Therapy,127942,"[18, 35]",2021-09-24,312.572,5.952,21,es,False
34,How I Met Your Mother,How I Met Your Mother,1100,[35],2005-09-19,237.241,8.155,4907,en,False
35,東京リベンジャーズ,Tokyo Revengers,105009,"[18, 16, 10759, 80]",2021-04-11,198.529,8.461,1165,ja,False
