,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
0,Salem's Lot,Salem's Lot,748230,"[27, 9648]",2024-10-03,684.695,6.3,243,en,False
1,Joker,Joker,475557,"[80, 53, 18]",2019-10-01,579.469,8.151,25422,en,False
2,Beetlejuice,Beetlejuice,4011,"[14, 35]",1988-03-30,531.07,7.379,7298,en,False
3,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,786892,"[28, 12, 878]",2024-05-22,381.235,7.5,3243,en,False
4,Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,823464,"[28, 12, 878]",2024-03-27,333.651,7.157,3681,en,False
5,Corpse Bride,Corpse Bride,3933,"[10749, 14, 16]",2005-09-12,327.432,7.568,9040,en,False
6,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,120,"[12, 14, 28]",2001-12-18,322.203,8.4,24975,en,False
7,The Shawshank Redemption,The Shawshank Redemption,278,"[18, 80]",1994-09-23,318.748,8.707,26945,en,False
8,Venom,Venom,335983,"[878, 28]",2018-09-28,306.294,6.8,15704,en,False
9,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,209112,"[28, 12, 14]",2016-03-23,296.503,6.0,17822,en,False
10,Venom: Let There Be Carnage,Venom: Let There Be Carnage,580489,"[878, 28, 12]",2021-09-30,287.264,6.797,9957,en,False
11,Dune: Part Two,Dune: Part Two,693134,"[878, 12]",2024-02-27,272.445,8.2,5378,en,False
12,Kingsman: The Secret Service,Kingsman: The Secret Service,207703,"[80, 35, 28, 12]",2015-01-24,270.108,7.6,16553,en,False
13,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,122,"[12, 14, 28]",2003-12-17,257.964,8.5,24030,en,False
14,Spider-Man: No Way Home,Spider-Man: No Way Home,634649,"[28, 12, 878]",2021-12-15,257.436,7.959,19951,en,False
15,Caddo Lake,Caddo Lake,863873,"[18, 9648, 878, 53]",2024-10-09,241.144,7.6,94,en,False
16,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,671,"[12, 14]",2001-11-16,239.195,7.913,27202,en,False
17,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,121,"[12, 14, 28]",2002-12-18,237.429,8.4,21692,en,False
18,The Godfather,The Godfather,238,"[18, 80]",1972-03-14,230.929,8.691,20458,en,False
19,Barbie,Barbie,346698,"[35, 12]",2023-07-19,205.759,7.016,8972,en,False
20,The Batman,The Batman,414906,"[80, 9648, 53]",2022-03-01,201.597,7.672,10127,en,False
21,Meg 2: The Trench,Meg 2: The Trench,615656,"[28, 878, 27]",2023-08-02,201.459,6.495,3344,en,False
22,Horrible Bosses 2,Horrible Bosses 2,227159,[35],2014-11-12,197.926,6.2,4085,en,False
23,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,672,"[12, 14]",2002-11-13,189.457,7.7,21771,en,False
24,The Watchers,The Watchers,1086747,"[27, 9648, 53]",2024-06-06,189.422,6.5,935,en,False
25,Interstellar,Interstellar,157336,"[12, 18, 878]",2014-11-05,189.287,8.44,35350,en,False
26,The Dark Knight,The Dark Knight,155,"[18, 28, 80, 53]",2008-07-16,187.471,8.5,32691,en,False
27,Titanic,Titanic,597,"[18, 10749]",1997-11-18,184.78,7.9,25187,en,False
28,The Suicide Squad,The Suicide Squad,436969,"[28, 35, 12]",2021-07-28,182.829,7.511,8514,en,False
29,Dune,Dune,438631,"[878, 12]",2021-09-15,176.047,7.8,12499,en,False
30,Evil Dead Rise,Evil Dead Rise,713704,"[27, 53]",2023-04-12,171.349,7.0,3017,en,False
31,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,673,"[12, 14]",2004-05-31,166.229,8.0,21382,en,False
32,The Hangover,The Hangover,18785,[35],2009-06-02,164.948,7.3,16718,en,False
33,Spider-Man: Far From Home,Spider-Man: Far From Home,429617,"[28, 12, 878]",2019-06-28,164.345,7.4,15522,en,False
34,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,767,"[12, 14]",2009-07-15,159.337,7.7,19263,en,False
35,Shazam! Fury of the Gods,Shazam! Fury of the Gods,594767,"[35, 28, 14]",2023-03-15,158.661,6.5,3049,en,False
36,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,674,"[12, 14]",2005-11-16,152.438,7.812,20503,en,False
37,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,423108,"[27, 9648, 53]",2021-05-25,151.956,7.435,5852,en,False
38,It,It,346364,[27],2017-09-06,148.645,7.2,18894,en,False
39,Wonka,Wonka,787699,"[35, 10751, 14]",2023-12-06,148.372,7.134,3400,en,False
40,Black Adam,Black Adam,436270,"[28, 12, 878]",2022-10-19,147.181,6.913,6199,en,False
41,Inception,Inception,27205,"[28, 878, 12]",2010-07-15,144.005,8.4,36377,en,False
42,World War Z,World War Z,72190,"[28, 27, 878, 53]",2013-06-19,141.432,6.818,15230,en,False
43,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,12445,"[14, 12]",2011-07-12,137.152,8.1,20388,en,False
