,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
0,FROM,FROM,124364,"[9648, 18, 10765]",2022-02-20,2176.405,8.15,1246,en,False
1,The Penguin,The Penguin,194764,"[18, 80]",2024-09-19,904.631,8.4,171,en,False
2,Supernatural,Supernatural,1622,"[18, 9648, 10765]",2005-09-13,837.182,8.3,7525,en,False
3,Game of Thrones,Game of Thrones,1399,"[10765, 18, 10759]",2011-04-17,668.486,8.5,23961,en,False
4,Superman & Lois,Superman & Lois,95057,"[18, 10765]",2021-02-23,510.913,8.1,2351,en,False
5,House of the Dragon,House of the Dragon,94997,"[10765, 18, 10759]",2022-08-21,499.287,8.386,4932,en,False
6,Shameless,Shameless,34307,"[18, 35]",2011-01-09,482.757,8.153,2684,en,False
7,The Walking Dead,The Walking Dead,1402,"[10759, 18, 10765]",2010-10-31,457.609,8.112,16434,en,False
8,The Mentalist,The Mentalist,5920,"[80, 18, 9648]",2008-09-23,454.401,8.369,3738,en,False
9,The Vampire Diaries,The Vampire Diaries,18165,"[18, 10765]",2009-09-10,429.968,8.332,8920,en,False
10,Rick and Morty,Rick and Morty,60625,"[16, 35, 10765, 10759]",2013-12-02,420.917,8.697,9704,en,False
11,The Flash,The Flash,60735,"[18, 10765]",2014-10-07,413.901,7.785,11070,en,False
12,Two and a Half Men,Two and a Half Men,2691,[35],2003-09-22,406.184,7.5,3191,en,False
13,Real Time with Bill Maher,Real Time with Bill Maher,4419,"[35, 10767]",2003-02-21,388.971,6.0,202,en,False
14,Friends,Friends,1668,[35],1994-09-22,373.86,8.4,7982,en,False
15,The Sopranos,The Sopranos,1398,[18],1999-01-10,334.315,8.645,2700,en,False
16,Smallville,Smallville,4604,"[10765, 10759, 18]",2001-10-16,322.73,8.219,4046,en,False
17,Peppa Pig,Peppa Pig,12225,"[16, 10762]",2004-05-31,305.521,6.6,697,en,False
18,Fargo,Fargo,60622,"[80, 18]",2014-04-15,305.042,8.296,2669,en,False
19,The Amazing World of Gumball,The Amazing World of Gumball,37606,"[16, 10751, 10765, 35]",2011-05-03,300.494,8.5,1427,en,False
20,Euphoria,Euphoria,85552,[18],2019-06-16,296.126,8.313,9689,en,False
21,ドラえもん,Doraemon,65733,"[10759, 16, 35, 10765, 10762, 10751]",2005-04-22,267.979,8.0,135,ja,False
22,Fringe,Fringe,1705,"[10765, 18, 9648]",2008-09-09,262.907,8.1,2428,en,False
23,Regular Show,Regular Show,31132,"[16, 35]",2010-09-06,249.912,8.634,2001,en,False
24,One Tree Hill,One Tree Hill,269,[18],2003-09-23,249.582,7.747,474,en,False
25,Uzumaki,Uzumaki,93241,"[16, 9648]",2024-09-29,244.865,8.558,26,en,False
