,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
0,El hoyo 2,The Platform 2,1125510,"[878, 53, 18, 27]",2024-09-27,2554.356,5.7,536,es,False
1,The Bad Guys: Haunted Heist,The Bad Guys: Haunted Heist,1329336,"[16, 35]",2024-10-02,944.292,7.4,47,en,False
2,Strul,Trouble,1210794,"[28, 35, 80]",2024-10-02,917.854,7.1,77,sv,False
3,Bangkok Breaking: ฝ่านรกเมืองเทวดา,Bangkok Breaking: Heaven and Hell,1337309,"[28, 80, 18, 53]",2024-09-26,664.257,6.5,29,th,False
4,Joker,Joker,475557,"[80, 53, 18]",2019-10-01,478.179,8.151,25441,en,False
5,Beetlejuice,Beetlejuice,4011,"[14, 35]",1988-03-30,388.911,7.4,7317,en,False
6,Saving Bikini Bottom: The Sandy Cheeks Movie,Saving Bikini Bottom: The Sandy Cheeks Movie,831815,"[16, 35, 12, 10751]",2024-10-18,370.09,6.7,5,en,False
7,El hoyo,The Platform,619264,"[18, 878, 53]",2019-11-08,339.031,6.981,6977,es,False
8,Bandida - A Número Um,Outlaw,1186947,"[28, 80, 18]",2024-06-20,321.382,6.0,79,pt,False
9,Padre no hay más que uno 4: Campanas de boda,Padre no hay más que uno 4: Campanas de boda,1030076,"[10751, 35]",2024-07-17,306.779,6.776,38,es,False
10,It's What's Inside,It's What's Inside,1052280,"[35, 9648, 878, 27]",2024-01-19,303.164,6.4,200,en,False
11,무도실무관,Officer Black Belt,1139817,"[28, 35, 80]",2024-09-10,296.628,7.8,183,ko,False
12,Venom,Venom,335983,"[878, 28]",2018-09-28,294.702,6.827,15711,en,False
13,Rebel Ridge,Rebel Ridge,646097,"[80, 28, 53, 18]",2024-08-27,267.277,7.0,850,en,False
14,The Godfather,The Godfather,238,"[18, 80]",1972-03-14,237.639,8.691,20468,en,False
15,Lonely Planet,Lonely Planet,959429,"[10749, 18]",2024-10-10,233.225,5.9,50,en,False
16,The Union,The Union,704239,"[28, 35]",2024-08-15,228.16,6.267,734,en,False
17,นักรบมนตรา: ตำนานแปดดวงจันทร์,Mantra Warrior: The Legend of The Eight Moons,1134424,"[16, 28, 12, 14, 878]",2023-10-11,216.271,6.4,29,th,False
18,365 dni: Ten dzień,365 Days: This Day,829557,"[10749, 18]",2022-04-26,206.516,5.9,1494,pl,False
19,The Shawshank Redemption,The Shawshank Redemption,278,"[18, 80]",1994-09-23,206.062,8.707,26954,en,False
20,The Menendez Brothers,The Menendez Brothers,1360610,"[99, 80]",2024-10-07,179.865,7.4,44,en,False
21,Sous la Seine,Under Paris,1001311,"[28, 18, 27, 53]",2024-06-04,158.233,6.0,1136,fr,False
22,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,228165,"[10751, 12, 35, 14, 16]",2015-01-28,200.457,6.093,2323,en,False
23,House of Ga'a,House of Ga'a,1311550,"[28, 36]",2024-07-26,139.125,5.8,80,en,False
