,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
0,Prison Break,Prison Break,2288,"[10759, 80, 18]",2005-08-29,985.135,8.079,5044,en,False
1,Outer Banks,Outer Banks,100757,"[10759, 18, 9648]",2020-04-15,1165.631,8.4,887,en,False
2,七つの大罪 黙示録の四騎士,The Seven Deadly Sins: Four Knights of the Apocalypse,218843,"[16, 10759, 10765]",2023-10-08,534.912,8.7,113,ja,False
3,Monsters,Monsters,225634,"[18, 80]",2024-09-19,721.391,7.586,187,en,False
4,Klass 95: El poder de la belleza,KLASS 95: The Power of Beauty,262252,"[18, 35, 10751]",2024-08-20,388.277,6.8,6,es,False
5,Lucifer,Lucifer,63174,"[80, 10765]",2016-01-25,577.367,8.464,14632,en,False
6,Dexter,Dexter,1405,"[80, 18, 9648]",2006-10-01,574.161,8.187,4222,en,False
7,The Blacklist,The Blacklist,46952,"[18, 80, 9648]",2013-09-23,551.738,7.6,3121,en,False
8,The Good Doctor,The Good Doctor,71712,[18],2017-09-25,560.242,8.483,12332,en,False
9,Breaking Bad,Breaking Bad,1396,"[18, 80]",2008-01-20,548.643,8.915,14294,en,False
10,"Miraculous, les aventures de Ladybug et Chat Noir",Miraculous: Tales of Ladybug & Cat Noir,65334,"[10759, 16, 10762]",2015-10-19,528.445,8.049,4384,fr,False
11,Suits,Suits,37680,[18],2011-06-23,520.674,8.228,5017,en,False
12,Vikings,Vikings,44217,"[10759, 18, 10768]",2013-03-03,491.627,8.093,6860,en,False
13,House,House,1408,"[18, 9648, 35]",2004-11-16,563.834,8.59,6484,en,False
14,Lost,Lost,4607,"[9648, 10759, 18]",2004-09-22,622.791,7.9,4209,en,False
15,The Resident,The Resident,74016,[18],2018-01-21,532.431,8.5,1207,en,False
16,ダンダダン,Dan Da Dan,240411,"[16, 10759, 35, 10765]",2024-10-04,494.022,8.774,42,ja,False
17,呪術廻戦,Jujutsu Kaisen,95479,"[16, 10759, 10765]",2020-10-03,480.424,8.579,3549,ja,False
18,Peaky Blinders,Peaky Blinders,60574,"[18, 80]",2013-09-12,449.902,8.538,9874,en,False
19,The Walking Dead,The Walking Dead,1402,"[10759, 18, 10765]",2010-10-31,457.609,8.112,16434,en,False
20,S.W.A.T.,S.W.A.T.,71790,"[80, 10759, 18]",2017-11-02,400.928,8.105,1378,en,False
21,HUNTER×HUNTER,Hunter x Hunter,46298,"[16, 10759, 10765]",2011-10-02,357.45,8.6,1726,ja,False
22,Young Sheldon,Young Sheldon,71728,"[35, 10751, 18]",2017-09-25,387.554,8.07,2497,en,False
23,Cobra Kai,Cobra Kai,77169,"[10759, 18, 35]",2018-05-02,366.759,8.214,6182,en,False
24,SPY×FAMILY,SPY x FAMILY,120089,"[16, 35, 10759]",2022-04-09,379.547,8.6,1865,ja,False
25,ポケットモンスター,Pokémon,60572,"[16, 10759, 10765]",1997-04-01,306.582,7.8,1760,ja,False
26,Peppa Pig,Peppa Pig,12225,"[16, 10762]",2004-05-31,305.521,6.6,697,en,False
27,Élite,Elite,76669,"[80, 9648, 18]",2018-10-05,341.283,8.0,9121,es,False
28,Stranger Things,Stranger Things,66732,"[18, 10765, 9648, 10759]",2016-07-15,350.286,8.602,17559,en,False
29,The Office,The Office,2316,[35],2005-03-24,287.777,8.576,4132,en,False
30,らんま1/2,Ranma1/2,259140,"[16, 10759, 35, 10765]",2024-10-06,319.674,8.538,26,ja,False
31,PAW Patrol,PAW Patrol,57532,"[16, 10762]",2013-08-12,317.146,6.985,731,en,False
32,Nobody Wants This,Nobody Wants This,250923,"[35, 18]",2024-09-26,292.631,7.779,61,en,False
33,ジョジョの奇妙な冒険,JoJo's Bizarre Adventure,45790,"[16, 10759, 10765]",2012-10-06,275.766,8.6,1371,ja,False
34,Heartstopper,Heartstopper,124834,[18],2022-04-22,283.973,8.614,1396,en,False
35,刺客伍六七,Scissor Seven,79141,"[16, 35, 10759, 10765]",2018-04-25,284.074,8.564,649,zh,False
36,Gilmore Girls,Gilmore Girls,4586,"[35, 18]",2000-10-05,391.01,7.9,1003,en,False
37,Bridgerton,Bridgerton,91239,[18],2020-12-25,277.09,8.1,2782,en,False
38,ナルト,Naruto,46260,"[16, 10759, 10765]",2002-10-03,287.812,8.4,5451,ja,False
39,Seinfeld,Seinfeld,1400,[35],1989-07-05,272.534,8.281,1960,en,False
40,MONSTER,Monster,30981,"[16, 18, 80, 9648]",2004-04-07,235.016,8.5,573,ja,False
41,はじめの一歩,Fighting Spirit,42705,"[16, 35, 18, 10759]",2000-10-03,259.863,8.7,1045,ja,False
42,경이로운 소문,The Uncanny Counter,113268,"[18, 9648, 10759]",2020-11-28,258.322,8.417,290,ko,False
43,Vikings: Valhalla,Vikings: Valhalla,116135,"[10759, 18, 10768]",2022-02-25,258.563,7.763,861,en,False
44,Keeping Up with the Kardashians,Keeping Up with the Kardashians,14814,[10764],2007-10-14,243.751,7.4,883,en,False
45,The Last Kingdom,The Last Kingdom,63333,"[10759, 18, 10768]",2015-10-10,250.347,8.3,1701,en,False
46,ナルト 疾風伝,Naruto Shippūden,31910,"[16, 10759, 10765]",2007-02-15,248.712,8.543,8075,ja,False
47,Better Call Saul,Better Call Saul,60059,"[80, 18]",2015-02-08,258.681,8.688,5173,en,False
48,Regular Show,Regular Show,31132,"[16, 35]",2010-09-06,249.912,8.634,2001,en,False
49,Emily in Paris,Emily in Paris,82596,"[18, 35]",2020-10-02,227.702,7.696,1343,en,False
50,스위트홈,Sweet Home,96648,"[18, 10765, 80]",2020-12-18,207.364,8.286,1358,ko,False
51,Ninjago: Masters of Spinjitzu,Ninjago: Masters of Spinjitzu,38693,"[16, 10759, 10765, 35]",2012-01-11,230.075,7.864,700,en,False
52,Wednesday,Wednesday,119051,"[10765, 9648, 35]",2022-11-23,209.624,8.461,8551,en,False
53,엄마친구아들,Love Next Door,241454,"[18, 35]",2024-08-17,242.613,8.326,68,ko,False
54,Gossip Girl,Gossip Girl,1395,"[18, 9648]",2007-09-19,235.935,8.2,2069,en,False
55,鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,31911,"[10759, 16, 10765, 35]",2009-04-05,207.622,8.7,2032,ja,False
56,Black Mirror,Black Mirror,42009,"[10765, 18, 9648]",2011-12-04,230.323,8.3,4996,en,False
57,Star Trek: The Next Generation,Star Trek: The Next Generation,655,"[10765, 10759, 18, 9648]",1987-09-28,229.643,8.4,1466,en,False
58,Brooklyn Nine-Nine,Brooklyn Nine-Nine,48891,"[35, 80]",2013-09-17,223.095,8.221,3312,en,False
59,Sex/Life,Sex/Life,126280,[18],2021-06-25,222.286,7.069,1304,en,False
60,Outlander,Outlander,56570,"[18, 10765]",2014-08-09,206.07,8.204,2567,en,False
61,Star Trek,Star Trek,253,"[10765, 18]",1966-09-08,239.567,8.038,1252,en,False
62,Adventure Time,Adventure Time,15260,"[16, 35, 10765]",2010-04-05,210.304,8.5,2745,en,False
63,La Reina del Flow,The Queen of Flow,80240,[18],2018-06-12,194.0,8.0,1432,es,False
64,The Fairly OddParents,The Fairly OddParents,4630,"[16, 35, 10765, 10762]",2001-03-30,215.933,7.6,960,en,False
65,Teen Titans Go!,Teen Titans Go!,45140,"[16, 35, 10759, 10765, 10751]",2013-04-23,191.417,6.57,626,en,False
